column_name,mean,sd
block_112B,0.0002834467120181406,0.016833489536622722
block_113,0.0022675736961451248,0.04756502712789802
block_113A,0.0005668934240362812,0.023802774121561242
block_113B,0.0002834467120181406,0.016833489536622722
block_113C,0.0002834467120181406,0.016833489536622722
block_114,0.001984126984126984,0.04449932835715438
block_115,0.003401360544217687,0.05822191417899214
block_115A,0.0022675736961451248,0.04756502712789802
block_115B,0.0002834467120181406,0.016833489536622722
block_115C,0.001417233560090703,0.037619476460031394
block_115D,0.0002834467120181406,0.016833489536622722
block_116,0.001984126984126984,0.04449932835715438
block_116A,0.0002834467120181406,0.016833489536622722
block_116B,0.0005668934240362812,0.02380277412156124
block_117,0.001417233560090703,0.037619476460031394
block_117A,0.0005668934240362812,0.02380277412156124
block_117B,0.0008503401360544217,0.02914819132823573
block_118,0.001984126984126984,0.04449932835715438
block_118B,0.0002834467120181406,0.016833489536622722
block_118D,0.0002834467120181406,0.016833489536622722
block_119,0.0008503401360544217,0.02914819132823573
block_119A,0.0002834467120181406,0.016833489536622722
block_119B,0.0008503401360544217,0.029148191328235727
block_119C,0.0002834467120181406,0.016833489536622722
block_119D,0.0002834467120181406,0.016833489536622722
block_12,0.002551020408163265,0.05044316309511528
block_120,0.002551020408163265,0.05044316309511528
block_120A,0.0005668934240362812,0.02380277412156124
block_120B,0.0008503401360544217,0.02914819132823573
block_120C,0.0,1.0
block_120D,0.0,1.0
block_121,0.0031179138321995466,0.05575116541862174
block_121A,0.0008503401360544217,0.02914819132823573
block_121C,0.0002834467120181406,0.016833489536622722
block_122,0.0031179138321995466,0.05575116541862174
block_122A,0.0002834467120181406,0.016833489536622722
block_122B,0.0005668934240362812,0.023802774121561242
block_122C,0.0002834467120181406,0.016833489536622722
block_123,0.001984126984126984,0.04449932835715438
block_123B,0.0002834467120181406,0.016833489536622726
block_123D,0.0002834467120181406,0.016833489536622722
block_124,0.001417233560090703,0.037619476460031394
block_124C,0.0002834467120181406,0.016833489536622722
block_125,0.002551020408163265,0.05044316309511528
block_126,0.0017006802721088435,0.04120422258362488
block_126B,0.0002834467120181406,0.016833489536622722
block_126C,0.0002834467120181406,0.016833489536622722
block_127,0.0008503401360544217,0.029148191328235727
block_127A,0.0,1.0
block_128,0.0017006802721088435,0.04120422258362488
block_128A,0.0005668934240362812,0.02380277412156124
block_128B,0.001417233560090703,0.037619476460031394
block_128C,0.0002834467120181406,0.016833489536622722
block_129,0.0017006802721088435,0.04120422258362488
block_129A,0.0005668934240362812,0.02380277412156124
block_129B,0.0005668934240362812,0.023802774121561242
block_129C,0.0002834467120181406,0.016833489536622722
block_12C,0.0005668934240362812,0.023802774121561242
block_13,0.0017006802721088435,0.04120422258362488
block_130,0.0011337868480725624,0.03365265777699736
block_130A,0.0008503401360544217,0.02914819132823573
block_130B,0.0011337868480725624,0.03365265777699736
block_131,0.001984126984126984,0.04449932835715438
block_131A,0.0008503401360544217,0.029148191328235734
block_131B,0.0008503401360544217,0.02914819132823573
block_132,0.001417233560090703,0.037619476460031394
block_133,0.0008503401360544217,0.02914819132823573
block_134,0.0002834467120181406,0.016833489536622722
block_135,0.0008503401360544217,0.02914819132823573
block_136,0.0011337868480725624,0.03365265777699735
block_137,0.0008503401360544217,0.02914819132823573
block_138,0.0011337868480725624,0.03365265777699736
block_138A,0.0,1.0
block_138B,0.0005668934240362812,0.02380277412156124
block_138C,0.0011337868480725624,0.03365265777699736
block_139,0.0017006802721088435,0.04120422258362488
block_139A,0.0002834467120181406,0.016833489536622726
block_14,0.0017006802721088435,0.04120422258362488
block_140,0.0005668934240362812,0.02380277412156124
block_141,0.0005668934240362812,0.023802774121561242
block_142,0.001984126984126984,0.04449932835715438
block_143,0.0017006802721088435,0.04120422258362489
block_144,0.0002834467120181406,0.016833489536622722
