station,line,lat,long
Telok Blangah,Circle Line,1.27070647717762,103.809761611219
HarbourFront,Circle Line,1.26538938374901,103.821530157095
Bayfront,Circle Line Extension,1.28187378879209,103.859079764874
Marina Bay,Circle Line Extension,1.276410298755,103.854595522263
Bukit Panjang,Downtown Line,1.37900211641036,103.761535114929
Cashew,Downtown Line,1.36981544925552,103.76443921414
Hillview,Downtown Line,1.36234486803558,103.767418254007
Beauty World,Downtown Line,1.34122317558549,103.775794285083
King Albert Park,Downtown Line,1.335893496278,103.783235863233
Sixth Avenue,Downtown Line,1.33085764536226,103.796906838288
Tan Kah Kee,Downtown Line,1.32555623519898,103.807760304729
Botanic Gardens,Downtown Line,1.32211373558877,103.814984510627
Stevens,Downtown Line,1.32006555750626,103.826024401924
Newton,Downtown Line,1.3123189224097,103.837984594021
